action,angle_deg,dq_80,xyz_80,dq_160,xyz_160,dq_320,xyz_320,dq_400,xyz_400
basketball,0,10.546,9.119927220874363,20.019,16.929601284640807,42.528,35.66846314955641,54.872,46.617501974105835
basketball_signal,0,3.046,2.37581534849957,5.21,4.298765162267714,11.25,9.76681484540632,15.004,13.332117733753417
directing_traffic,0,5.612,4.5063321140255175,11.022,9.10235697166544,25.87,21.804243534561614,34.607,29.491782057982647
jumping,0,13.998,12.483724261983298,28.343,26.313734153518453,59.849,57.027998147532344,75.385,72.54487671889365
running,0,11.339,9.778531268239021,19.378,15.515673905611038,32.836,25.628866627812386,41.901,31.278498470783234
soccer,0,10.917,9.337371295051915,20.216,16.695541249854223,41.831,33.39329995214939,53.805,42.81367638281414
walking,0,6.68,5.741304550204218,10.883,9.131963040841663,20.46,14.887669285678346,26.051,18.219471741352024
washwindow,0,5.281,4.378339931346882,10.431,8.769935578524803,24.796,21.04271558114768,33.082,28.34640705988184
basketball,90,10.546,9.809947027652353,20.019,19.650726047930895,42.528,44.78902993378816,54.872,58.669486779857564
basketball_signal,90,3.046,2.7146808541387566,5.21,5.490299645226356,11.25,13.367980657037625,15.004,18.12725371011525
directing_traffic,90,5.612,5.061099256637779,11.022,10.956271153092894,25.87,27.418055251100753,34.607,36.977758518174404
jumping,90,13.998,13.175976375350729,28.343,28.395641944371164,59.849,61.84512109030038,75.385,77.99964095465839
running,90,11.339,11.190087534487247,19.378,21.885063499212265,32.836,45.139964669942856,41.901,56.742675602436066
soccer,90,10.917,10.21789015669908,20.216,20.20874318799802,41.831,44.840689695307184,53.805,57.8763802668878
walking,90,6.68,6.891870159678948,10.883,13.384356493165035,20.46,28.085307478441955,26.051,35.33397323411444
washwindow,90,5.281,5.271233307932873,10.431,11.682577276895913,24.796,30.03609052616472,33.082,40.420696495954
