angle_deg,dq_80,dq_160,dq_320,dq_400,xyz_80,xyz_160,xyz_320,xyz_400
0,8.427342133444563,15.68763214592654,32.42754206405228,41.83844282994262,7.2151682460580755,13.344695599445103,27.402507113111195,35.330539335099346
10,8.427331078981705,15.687627562863966,32.42753828483738,41.83843939450861,7.24871379589441,13.496695273523304,27.89516293814033,35.95951562130731
20,8.427320601068498,15.687620621214464,32.427531519670126,41.83843340304399,7.337645837332254,13.845438701484191,29.0345961415353,37.453315284928706
30,8.42734246403105,15.687632415307245,32.42754117837136,41.83844264866196,7.465176775092383,14.334693843203052,30.592146818693237,39.49290077061718
40,8.427337347190326,15.68762982073903,32.4275396705235,41.83843982108216,7.606038262452282,14.865977419192411,32.24768161488539,41.65698206251486
50,8.427338056579561,15.687630502290595,32.427542282647806,41.83844382725952,7.7412915343778685,15.372191454672409,33.78304489042378,43.684190789305056
60,8.427311129688677,15.687615747623525,32.42752908021183,41.83843278904072,7.856374209065018,15.800004680535501,35.04948697267223,45.351734601648985
70,8.427349051294062,15.68763612739339,32.42754510448734,41.83844476590099,7.947013636780167,16.12975322223662,36.018138607328694,46.603439873159395
80,8.42734493730911,15.687633775235035,32.42754619225324,41.83844768279266,8.005113293811737,16.339831414884323,36.62804610222243,47.38120770762184
90,8.427327445906986,15.687625681701793,32.427535450893416,41.838437825857696,8.041900598593763,16.45787013725532,36.94363844967865,47.77289313312534
100,8.427330874382399,15.687626559636623,32.427538970526506,41.838441624860906,8.053272275527872,16.48625269882458,36.96881923079884,47.797624983601146
110,8.427325071860167,15.687624359297885,32.42753827449696,41.83844289444105,8.039685687327653,16.42594156821683,36.751690160680596,47.52143732344273
120,8.427352221586718,15.687639504543318,32.427551113357936,41.838451369697175,7.99874891744375,16.268550481597387,36.27997910654444,46.915443382317605
130,8.427340787258057,15.687633489846185,32.42754495289631,41.83844624432017,7.9332305173056366,16.019428307751106,35.54359967282028,45.952569739767796
140,8.427336338803011,15.687631194383478,32.427544741215776,41.83844627744979,7.844914873855074,15.690484097344537,34.56156479029552,44.652419916994354
150,8.427318820630102,15.687621494793099,32.42753590348316,41.838443044961615,7.750552034041119,15.32975049651007,33.47620179496525,43.23464698569011
160,8.427334029347946,15.687631263851536,32.42754506547266,41.83844807015166,7.657758917865665,14.971268282999826,32.406994526336696,41.88579571467874
170,8.427357517299274,15.687644020928605,32.42755507704085,41.83845473966582,7.589896720695052,14.691712499141111,31.550836391734048,40.799419792960556
180,8.427329232175607,15.68762727299222,32.427540471354135,41.83844475414094,7.55874578691019,14.569667919540858,31.171344508069307,40.31240984016855
