translation_m,dq_80,dq_160,dq_320,dq_400,xyz_80,xyz_160,xyz_320,xyz_400
0.0,8.427342168124042,15.687632670015297,32.42754217707584,41.83844314537036,7.215168185459104,13.344695763417533,27.402507376787902,35.330539753907615
0.5,8.427340713822337,15.687630455732203,32.42754238083226,41.83844258759942,9.796975651988726,21.471386197423715,52.43257464408251,67.85679317972921
1.0,8.42734171987337,15.68763209764009,32.42754085888468,41.83844199680089,15.976789010496871,33.48473967072995,87.50325773384844,110.97966911686665
1.5,8.427342862964144,15.68763273107829,32.42754420958462,41.838446392002226,28.270088569588914,54.53380312946971,145.1153286303195,180.31519819911549
2.0,8.427342046816598,15.687631727253148,32.42754304018547,41.83844532805081,45.46278250377091,86.00048323421012,246.84271958520765,302.51312446358133
2.5,8.427339559078064,15.687626802768362,32.427538540919286,41.8384395142626,66.2315979880884,126.90529738886778,385.24821154414275,467.62822036396494
3.0,8.427343817324491,15.687632905566526,32.4275461382039,41.83844901627127,91.29623022786606,184.46857682655235,568.5016285325248,683.180466315479
3.5,8.4273457102365,15.687630335518872,32.42753635599611,41.838443906935694,120.49040364349747,259.3536903002034,802.7079001614615,955.2529155673728
4.0,8.427343559254023,15.68763069524945,32.42754101965285,41.83844200995594,155.91226352275373,347.7617323986669,1068.9083765350088,1263.0828406250107
4.5,8.427340452570855,15.687628654989952,32.42754919874841,41.83844811244702,198.66995909723533,458.29490810723803,1393.7458539305635,1637.9145449807068
5.0,8.427341177173108,15.687626779661727,32.427546537916,41.83845204044508,247.93174813931802,590.9072793997857,1777.8506895485657,2074.307063941867
